"ID" "title" "wiki links" "imdbLinks"
"Diary_of_a_Wimpy_Kid:_The_Long_Haul_(film)" "Diary of a Wimpy Kid: The Long Haul" "https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_The_Long_Haul_(film)" "https://www.imdb.com/title/tt6003368/"
"Everything,_Everything_(film)" "Everything, Everything" "https://en.wikipedia.org/wiki/Everything,_Everything_(film)" "https://www.imdb.com/title/tt5001718/"
"Wakefield_(film)" "Wakefield" "https://en.wikipedia.org/wiki/Wakefield_(film)" "https://www.imdb.com/title/tt5195412/"
"Baywatch_(film)" "Baywatch" "https://en.wikipedia.org/wiki/Baywatch_(film)" "https://www.imdb.com/title/tt1469304/"
"Pirates_of_the_Caribbean:_Dead_Men_Tell_No_Tales" "Pirates of the Caribbean: Dead Men Tell No Tales" "https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_Dead_Men_Tell_No_Tales" "https://www.imdb.com/title/tt1790809/"
"Buena_Vista_Social_Club:_Adios" "Buena Vista Social Club: Adios" "https://en.wikipedia.org/wiki/Buena_Vista_Social_Club:_Adios" "https://www.imdb.com/title/tt4653272/"
"War_Machine_(film)" "War Machine" "https://en.wikipedia.org/wiki/War_Machine_(film)" "https://www.imdb.com/title/tt4758646/"
"Wonder_Woman_(2017_film)" "Wonder Woman" "https://en.wikipedia.org/wiki/Wonder_Woman_(2017_film)" "https://www.imdb.com/title/tt0451279/"
"Captain_Underpants:_The_First_Epic_Movie" "Captain Underpants: The First Epic Movie" "https://en.wikipedia.org/wiki/Captain_Underpants:_The_First_Epic_Movie" "https://www.imdb.com/title/tt2091256/"
"Dean_(film)" "Dean" "https://en.wikipedia.org/wiki/Dean_(film)" "https://www.imdb.com/title/tt3914332/"
"The_Mummy_(2017_film)" "The Mummy" "https://en.wikipedia.org/wiki/The_Mummy_(2017_film)" "https://www.imdb.com/title/tt2345759/"
"It_Comes_at_Night" "It Comes at Night" "https://en.wikipedia.org/wiki/It_Comes_at_Night" "https://www.imdb.com/title/tt4695012/"
"My_Cousin_Rachel_(2017_film)" "My Cousin Rachel" "https://en.wikipedia.org/wiki/My_Cousin_Rachel_(2017_film)" "https://www.imdb.com/title/tt4411596/"
"Megan_Leavey_(film)" "Megan Leavey" "https://en.wikipedia.org/wiki/Megan_Leavey_(film)" "https://www.imdb.com/title/tt4899370/"
"Beatriz_at_Dinner" "Beatriz at Dinner" "https://en.wikipedia.org/wiki/Beatriz_at_Dinner" "https://www.imdb.com/title/tt5929750/"
"Cars_3" "Cars 3" "https://en.wikipedia.org/wiki/Cars_3" "https://www.imdb.com/title/tt3606752/"
"Rough_Night" "Rough Night" "https://en.wikipedia.org/wiki/Rough_Night" "https://www.imdb.com/title/tt4799050/"
"All_Eyez_on_Me_(film)" "All Eyez on Me" "https://en.wikipedia.org/wiki/All_Eyez_on_Me_(film)" "https://www.imdb.com/title/tt1666185/"
"47_Meters_Down" "47 Meters Down" "https://en.wikipedia.org/wiki/47_Meters_Down" "https://www.imdb.com/title/tt2932536/"
"The_Book_of_Henry" "The Book of Henry" "https://en.wikipedia.org/wiki/The_Book_of_Henry" "https://www.imdb.com/title/tt4572792/"
"Transformers:_The_Last_Knight" "Transformers: The Last Knight" "https://en.wikipedia.org/wiki/Transformers:_The_Last_Knight" "https://www.imdb.com/title/tt3371366/"
"The_Beguiled_(2017_film)" "The Beguiled" "https://en.wikipedia.org/wiki/The_Beguiled_(2017_film)" "https://www.imdb.com/title/tt5592248/"
"The_Big_Sick" "The Big Sick" "https://en.wikipedia.org/wiki/The_Big_Sick" "https://www.imdb.com/title/tt5462602/"
"The_Bad_Batch" "The Bad Batch" "https://en.wikipedia.org/wiki/The_Bad_Batch" "https://www.imdb.com/title/tt4334266/"
